ChemkinName	ChemicalFormula	MolecularWeight	Radius	Diffusivity	AbrahamS	AbrahamB	AbrahamE	AbrahamL	AbrahamA	AbrahamV	ChemkinName
SPC(119)	C16H24	216.0	6.790759572299266E-10	1.140009043400512E-9	0.602	0.16599999999999998	0.6880000000000001	7.695999999999997	0.0030	208.23999999999938	SPC(119)
H2O2(101)	H2O2	34.0	4.005623336232731E-10	1.932664824960957E-9	0.771	0.6849999999999999	0.37	1.4740000000000002	0.693	22.6	H2O2(101)
SPC(218)	C16H23J	215.0	6.790759572299266E-10	1.140009043400512E-9	0.602	0.16599999999999998	0.6880000000000001	7.695999999999997	0.0030	206.0899999999994	SPC(218)
SPC(254)	C16H23O2J	247.0	7.018509451984523E-10	1.1030158720938667E-9	1.0700000000000003	0.6950000000000001	0.852	8.677999999999999	0.348	217.82999999999942	SPC(254)
SPC(268)	C16H24O2	248.0	7.018509451984523E-10	1.1030158720938667E-9	1.0699999999999998	0.695	0.8520000000000001	8.677999999999997	0.348	219.9799999999994	SPC(268)
SPC(261)	C16H23O2J	247.0	7.114119173160123E-10	1.0881919652381835E-9	1.0700000000000003	0.6950000000000001	0.8520000000000002	8.677999999999999	0.348	217.82999999999942	SPC(261)
SPC(271)	C16H24O2	248.0	7.114119173160123E-10	1.0881919652381835E-9	1.0699999999999998	0.695	0.8520000000000001	8.677999999999997	0.348	219.9799999999994	SPC(271)
SPC(395)	C16H23O2J	247.0	7.114119173160123E-10	1.0881919652381835E-9	1.0700000000000003	0.6950000000000001	0.8520000000000002	8.677999999999999	0.348	217.82999999999942	SPC(395)
SPC(439)	C16H23O4J	279.0	7.322482326005983E-10	1.0572271777953665E-9	1.5380000000000003	1.2239999999999989	1.016	9.660000000000002	0.693	229.56999999999942	SPC(439)
SPC(455)	C16H24O4	280.0	7.322482326005983E-10	1.0572271777953665E-9	1.5380000000000007	1.2240000000000002	1.0160000000000002	9.659999999999998	0.693	231.71999999999952	SPC(455)
SPC(171)	C16H25OJ	233.0	6.948190336594852E-10	1.1141789370976989E-9	0.785	0.4620000000000001	0.7020000000000001	8.377999999999998	0.348	216.25999999999937	SPC(171)
H2O(190)	H2O	18.0	3.1800000000000004E-10	2.4344425547106146E-9	0.524	0.378	0.309	0.802	0.348	16.730000000000004	H2O(190)
SPC(173)	C16H26O	234.0	6.948190336594852E-10	1.1141789370976989E-9	0.785	0.4620000000000001	0.7020000000000001	8.377999999999998	0.348	218.40999999999934	SPC(173)
SPC(446)	C16H23O4J	279.0	7.322482326005983E-10	1.0572271777953665E-9	1.5380000000000003	1.2239999999999989	1.016	9.660000000000002	0.693	229.56999999999942	SPC(446)
SPC(458)	C16H24O4	280.0	7.322482326005983E-10	1.0572271777953665E-9	1.5380000000000007	1.2240000000000002	1.0160000000000002	9.659999999999998	0.693	231.71999999999952	SPC(458)
SPC(664)	C16H23O4J	279.0	7.322482326005984E-10	1.0572271777953663E-9	1.5380000000000003	1.2239999999999989	1.016	9.660000000000002	0.693	229.56999999999942	SPC(664)
HOJ(103)	HOJ	17.0	3.1800000000000004E-10	2.4344425547106146E-9	0.524	0.378	0.309	0.802	0.348	14.580000000000002	HOJ(103)
SPC(695)	C16H22O3	262.0	7.121035639041846E-10	1.087135034339106E-9	1.3270000000000004	0.928	1.044	8.937999999999999	0.348	214.98999999999944	SPC(695)
SPC(70)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(70)
SPC(850)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(850)
SPC(854)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(854)
SPC(74)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(74)
SPC(948)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(948)
SPC(953)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(953)
SPC(525)	C16H23O4J	279.0	7.26598794598005E-10	1.0654473117124838E-9	1.5530000000000004	1.201999999999999	1.0390000000000001	9.865	0.693	229.56999999999942	SPC(525)
SPC(1070)	C16H22O3	262.0	6.941678284508788E-10	1.1152241585807755E-9	1.5410000000000004	1.0290000000000001	0.9910000000000002	9.298	0.348	221.54999999999944	SPC(1070)
SPC(1121)	C16H23O5J	295.0	7.419171768651262E-10	1.0434489947638851E-9	1.8200000000000007	1.5570000000000002	1.1750000000000003	10.326	1.0379999999999998	235.43999999999954	SPC(1121)
SPC(75)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(75)
SPC(1212)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(1212)
SPC(1216)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(1216)
