ChemkinName	ChemicalFormula	MolecularWeight	Radius	Diffusivity	AbrahamS	AbrahamB	AbrahamE	AbrahamL	AbrahamA	AbrahamV	ChemkinName
SPC(36)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(36)
SPC(513)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(513)
SPC(518)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(518)
SPC(37)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(37)
SPC(608)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(608)
SPC(611)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(611)
SPC(33)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(33)
SPC(689)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(689)
SPC(693)	C16H34O2	258.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	248.0399999999999	SPC(693)
SPC(38)	C16H33J	225.0	7.118380296114519E-10	1.0875405642777155E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	7.757999999999998	0.0030	234.1499999999997	SPC(38)
SPC(779)	C16H33O2J	257.0	7.326504247987865E-10	1.0566468075284159E-9	0.595	0.614	0.20400000000000001	8.739999999999998	0.348	245.89000000000016	SPC(779)
